Year,Crop,Area,Production,Yield,Province,temperature_2m_max,temperature_2m_min,temperature_2m_mean,Combined_temperature_normalized,precipitation_sum,precipitation_sum_normalized,shortwave_radiation,shortwave_radiation_normalized,fao_evapotranspiration,fao_evapotranspiration_normalized,precipitation_hours,precipitation_hours_normalized,Climate_Index
2001,apple,0.74,2.5,84.31,Punjab,18.9,6.08,12.26,0.08,8.0,0.04,13.57,0.21,2.32,0.12,15,0.06,0.11
2001,apple,0.74,2.5,84.31,Punjab,23.7,9.05,16.19,0.23,4.3,0.02,17.55,0.43,3.63,0.31,9,0.04,0.25
2001,apple,0.74,2.5,84.31,Punjab,29.03,14.49,21.77,0.45,3.5,0.02,21.66,0.66,5.03,0.51,9,0.04,0.41
2001,apple,0.74,2.5,84.31,Punjab,34.33,20.14,27.34,0.67,19.8,0.09,23.32,0.75,6.22,0.68,31,0.13,0.55
2001,apple,0.74,2.5,84.31,Punjab,41.2,27.17,34.25,0.94,24.8,0.11,26.59,0.93,7.69,0.89,39,0.16,0.72
2001,apple,0.74,2.5,84.31,Punjab,37.13,27.73,32.38,0.87,104.3,0.47,22.9,0.73,6.09,0.66,102,0.42,0.68
2001,apple,0.74,2.5,84.31,Punjab,36.17,27.89,31.88,0.85,140.7,0.64,19.19,0.52,5.24,0.54,173,0.71,0.64
2001,apple,0.74,2.5,84.31,Punjab,38.45,28.98,33.64,0.92,27.8,0.13,21.19,0.63,6.12,0.67,61,0.25,0.59
2001,apple,0.74,2.5,84.31,Punjab,36.56,24.94,30.54,0.8,47.3,0.22,20.07,0.57,5.18,0.53,55,0.23,0.53
2001,apple,0.74,2.5,84.31,Punjab,33.66,20.83,27.11,0.66,5.6,0.03,17.95,0.45,4.48,0.43,4,0.02,0.39
2001,apple,0.74,2.5,84.31,Punjab,27.53,13.5,20.24,0.4,3.7,0.02,14.88,0.28,3.34,0.27,5,0.02,0.24
2001,apple,0.74,2.5,84.31,Punjab,22.48,9.87,15.85,0.23,2.0,0.01,12.62,0.16,2.41,0.13,5,0.02,0.13
2002,apple,0.99,3.6,91.05,Punjab,20.38,7.27,13.53,0.13,0.5,0.0,14.03,0.24,2.47,0.14,2,0.01,0.13
2002,apple,0.99,3.6,91.05,Punjab,21.71,8.76,14.96,0.19,19.4,0.09,16.12,0.35,3.1,0.23,45,0.19,0.22
2002,apple,0.99,3.6,91.05,Punjab,29.15,14.84,22.08,0.46,19.7,0.09,20.67,0.6,4.9,0.49,48,0.2,0.41
2002,apple,0.99,3.6,91.05,Punjab,36.51,21.36,29.1,0.73,1.7,0.01,24.87,0.84,7.04,0.8,3,0.01,0.6
2002,apple,0.99,3.6,91.05,Punjab,41.81,26.44,34.43,0.94,19.1,0.09,26.8,0.94,8.09,0.95,25,0.1,0.73
2002,apple,0.99,3.6,91.05,Punjab,40.31,28.91,34.59,0.95,50.9,0.23,25.91,0.89,7.3,0.84,38,0.16,0.73
2002,apple,0.99,3.6,91.05,Punjab,39.88,30.12,35.1,0.97,23.5,0.11,24.84,0.84,7.23,0.83,32,0.13,0.69
2002,apple,0.99,3.6,91.05,Punjab,38.88,29.29,33.83,0.93,48.8,0.22,21.25,0.64,6.15,0.67,72,0.3,0.62
2002,apple,0.99,3.6,91.05,Punjab,33.4,23.89,28.57,0.72,74.0,0.34,18.68,0.49,4.42,0.42,69,0.28,0.49
2002,apple,0.99,3.6,91.05,Punjab,32.93,20.35,26.42,0.64,6.3,0.03,17.73,0.44,4.39,0.42,15,0.06,0.38
2002,apple,0.99,3.6,91.05,Punjab,27.16,14.46,20.41,0.41,5.7,0.03,14.05,0.24,3.07,0.23,16,0.07,0.23
2002,apple,0.99,3.6,91.05,Punjab,21.89,9.55,15.23,0.21,27.9,0.13,12.11,0.13,2.41,0.13,37,0.15,0.15
2003,apple,0.99,3.6,91.05,Punjab,18.54,6.54,12.15,0.08,7.8,0.04,12.55,0.15,2.01,0.08,25,0.1,0.09
2003,apple,0.99,3.6,91.05,Punjab,21.4,9.83,15.31,0.2,55.3,0.25,15.11,0.3,2.71,0.18,64,0.26,0.23
2003,apple,0.99,3.6,91.05,Punjab,26.75,13.47,19.93,0.38,22.9,0.1,20.38,0.59,4.32,0.41,27,0.11,0.37
2003,apple,0.99,3.6,91.05,Punjab,36.31,20.52,28.49,0.71,6.9,0.03,24.72,0.83,6.97,0.79,12,0.05,0.59
2003,apple,0.99,3.6,91.05,Punjab,39.65,24.06,32.3,0.85,3.1,0.01,27.81,1.0,8.14,0.96,10,0.04,0.7
2003,apple,0.99,3.6,91.05,Punjab,41.99,29.42,35.85,1.0,20.8,0.09,26.15,0.91,7.73,0.9,25,0.1,0.72
2003,apple,0.99,3.6,91.05,Punjab,35.63,27.87,31.72,0.84,126.7,0.58,20.21,0.58,5.15,0.53,150,0.62,0.63
2003,apple,0.99,3.6,91.05,Punjab,36.56,27.58,31.85,0.85,68.1,0.31,20.1,0.57,5.11,0.52,126,0.52,0.56
2003,apple,0.99,3.6,91.05,Punjab,36.5,26.18,31.08,0.82,52.1,0.24,19.11,0.52,4.92,0.49,60,0.25,0.52
2003,apple,0.99,3.6,91.05,Punjab,33.66,19.28,26.45,0.63,0.7,0.0,18.5,0.48,4.69,0.46,3,0.01,0.39
2003,apple,0.99,3.6,91.05,Punjab,25.91,12.11,18.62,0.34,14.1,0.06,14.64,0.27,3.24,0.25,22,0.09,0.23
2003,apple,0.99,3.6,91.05,Punjab,21.17,9.19,14.75,0.18,4.6,0.02,12.21,0.13,2.21,0.1,10,0.04,0.11
2004,apple,0.99,3.6,91.05,Punjab,18.45,7.96,12.88,0.11,34.7,0.16,11.21,0.08,1.94,0.07,61,0.25,0.1
2004,apple,0.99,3.6,91.05,Punjab,23.71,10.06,16.59,0.25,7.0,0.03,17.26,0.41,3.3,0.26,9,0.04,0.24
2004,apple,0.99,3.6,91.05,Punjab,32.3,16.97,24.65,0.56,0.2,0.0,22.14,0.69,5.29,0.55,1,0.0,0.45
2004,apple,0.99,3.6,91.05,Punjab,36.91,21.91,29.44,0.75,18.6,0.08,24.29,0.8,6.98,0.79,28,0.12,0.6
